type,url,statut_final,url_finale,titre,canonique,fil_serveur,fil_visible_dans_html,liens_produit_html,liens_avec_contexte
subcategory,https://www.mikadodeco.be/collections/coussins-plaids-tapis,200,https://www.mikadodeco.be/collections/coussins-plaids-tapis,"Coussins, plaids & tapis · Mikado Deco",https://www.mikadodeco.be/collections/coussins-plaids-tapis,"Accueil > Le catalogue > Coussins, plaids & tapis",False,24,0
subcategory,https://www.mikadodeco.be/collections/cache-pots-jardinieres,200,https://www.mikadodeco.be/collections/cache-pots-jardinieres,Cache-pots & jardinières · Mikado Deco,https://www.mikadodeco.be/collections/cache-pots-jardinieres,Accueil > Le catalogue > Cache-pots & jardinières,False,15,0
subcategory,https://www.mikadodeco.be/collections/objets-decoratifs-cadres,200,https://www.mikadodeco.be/collections/objets-decoratifs-cadres,Objets décoratifs & cadres · Mikado Deco,https://www.mikadodeco.be/collections/objets-decoratifs-cadres,Accueil > Le catalogue > Objets décoratifs & cadres,False,24,0
family,https://www.mikadodeco.be/collections/outdoor,200,https://www.mikadodeco.be/collections/outdoor,Jardin — mobilier d'extérieur · Mikado Deco,https://www.mikadodeco.be/collections/outdoor,,False,0,0
subcategory,https://www.mikadodeco.be/collections/chaises-outdoor,200,https://www.mikadodeco.be/collections/chaises-outdoor,Chaises outdoor · Mikado Deco,https://www.mikadodeco.be/collections/chaises-outdoor,Accueil > Le catalogue > Chaises outdoor,False,24,0
subcategory,https://www.mikadodeco.be/collections/bancs-outdoor,200,https://www.mikadodeco.be/collections/bancs-outdoor,Bancs outdoor · Mikado Deco,https://www.mikadodeco.be/collections/bancs-outdoor,Accueil > Le catalogue > Bancs outdoor,False,24,0
subcategory,https://www.mikadodeco.be/collections/bains-de-soleil-transats,200,https://www.mikadodeco.be/collections/bains-de-soleil-transats,Bains de soleil & transats · Mikado Deco,https://www.mikadodeco.be/collections/bains-de-soleil-transats,Accueil > Le catalogue > Bains de soleil & transats,False,6,0
subcategory,https://www.mikadodeco.be/collections/parasols-ombrages,200,https://www.mikadodeco.be/collections/parasols-ombrages,Parasols & ombrages · Mikado Deco,https://www.mikadodeco.be/collections/parasols-ombrages,Accueil > Le catalogue > Parasols & ombrages,False,10,0
subcategory,https://www.mikadodeco.be/collections/brasero-barbecue,200,https://www.mikadodeco.be/collections/brasero-barbecue,Brasero & barbecue · Mikado Deco,https://www.mikadodeco.be/collections/brasero-barbecue,Accueil > Le catalogue > Brasero & barbecue,False,4,0
subcategory,https://www.mikadodeco.be/collections/accessoires-jardin,200,https://www.mikadodeco.be/collections/accessoires-jardin,Accessoires jardin · Mikado Deco,https://www.mikadodeco.be/collections/accessoires-jardin,Accueil > Le catalogue > Accessoires jardin,False,3,0
subcategory,https://www.mikadodeco.be/collections/tables-outdoor,200,https://www.mikadodeco.be/collections/tables-outdoor,Tables outdoor · Mikado Deco,https://www.mikadodeco.be/collections/tables-outdoor,Accueil > Le catalogue > Tables outdoor,False,24,0
family,https://www.mikadodeco.be/collections/rangement,200,https://www.mikadodeco.be/collections/rangement,Rangement · Mikado Deco,https://www.mikadodeco.be/collections/rangement,Accueil > Le catalogue > Rangement,False,24,0
subcategory,https://www.mikadodeco.be/collections/etageres-et-bibliotheques,200,https://www.mikadodeco.be/collections/etageres-et-bibliotheques,Étagères et bibliothèques · Mikado Deco,https://www.mikadodeco.be/collections/etageres-et-bibliotheques,Accueil > Le catalogue > Étagères et bibliothèques,False,24,0
subcategory,https://www.mikadodeco.be/collections/commodes-et-buffets,200,https://www.mikadodeco.be/collections/commodes-et-buffets,Commodes et buffets · Mikado Deco,https://www.mikadodeco.be/collections/commodes-et-buffets,Accueil > Le catalogue > Commodes et buffets,False,24,0
subcategory,https://www.mikadodeco.be/collections/paniers-et-corbeilles,200,https://www.mikadodeco.be/collections/paniers-et-corbeilles,Paniers et corbeilles · Mikado Deco,https://www.mikadodeco.be/collections/paniers-et-corbeilles,Accueil > Le catalogue > Paniers et corbeilles,False,24,0
subcategory,https://www.mikadodeco.be/collections/pateres-et-porte-manteaux,200,https://www.mikadodeco.be/collections/pateres-et-porte-manteaux,Patères et porte-manteaux · Mikado Deco,https://www.mikadodeco.be/collections/pateres-et-porte-manteaux,Accueil > Le catalogue > Patères et porte-manteaux,False,13,0
subcategory,https://www.mikadodeco.be/collections/dessertes-et-chariots,200,https://www.mikadodeco.be/collections/dessertes-et-chariots,Dessertes et chariots · Mikado Deco,https://www.mikadodeco.be/collections/dessertes-et-chariots,Accueil > Le catalogue > Dessertes et chariots,False,2,0
family,https://www.mikadodeco.be/collections/accessoires,200,https://www.mikadodeco.be/collections/accessoires,Arts de la table · Mikado Deco,https://www.mikadodeco.be/collections/accessoires,Accueil > Le catalogue > Arts de la table,False,24,0
subcategory,https://www.mikadodeco.be/collections/vaisselle-assiettes,200,https://www.mikadodeco.be/collections/vaisselle-assiettes,Vaisselle & assiettes · Mikado Deco,https://www.mikadodeco.be/collections/vaisselle-assiettes,Accueil > Le catalogue > Vaisselle & assiettes,False,24,0
subcategory,https://www.mikadodeco.be/collections/verres-carafes,200,https://www.mikadodeco.be/collections/verres-carafes,Verres & carafes · Mikado Deco,https://www.mikadodeco.be/collections/verres-carafes,Accueil > Le catalogue > Verres & carafes,False,24,0
subcategory,https://www.mikadodeco.be/collections/couverts,200,https://www.mikadodeco.be/collections/couverts,Couverts · Mikado Deco,https://www.mikadodeco.be/collections/couverts,Accueil > Le catalogue > Couverts,False,24,0
subcategory,https://www.mikadodeco.be/collections/mugs-tasses-cafe,200,https://www.mikadodeco.be/collections/mugs-tasses-cafe,"Mugs, tasses & café · Mikado Deco",https://www.mikadodeco.be/collections/mugs-tasses-cafe,"Accueil > Le catalogue > Mugs, tasses & café",False,24,0
subcategory,https://www.mikadodeco.be/collections/ustensiles-cuisine,200,https://www.mikadodeco.be/collections/ustensiles-cuisine,Ustensiles & cuisine · Mikado Deco,https://www.mikadodeco.be/collections/ustensiles-cuisine,Accueil > Le catalogue > Ustensiles & cuisine,False,24,0
brand,https://www.mikadodeco.be/collections/tradition,200,https://www.mikadodeco.be/collections/tradition,&Tradition · Mikado Deco,https://www.mikadodeco.be/collections/tradition,Accueil > Le catalogue > &Tradition,False,24,0
brand,https://www.mikadodeco.be/collections/alessi,200,https://www.mikadodeco.be/collections/alessi,Alessi · Mikado Deco,https://www.mikadodeco.be/collections/alessi,Accueil > Le catalogue > Alessi,False,24,0
brand,https://www.mikadodeco.be/collections/anglepoise,200,https://www.mikadodeco.be/collections/anglepoise,Anglepoise · Mikado Deco,https://www.mikadodeco.be/collections/anglepoise,Accueil > Le catalogue > Anglepoise,False,5,0
brand,https://www.mikadodeco.be/collections/artek,200,https://www.mikadodeco.be/collections/artek,Artek · Mikado Deco,https://www.mikadodeco.be/collections/artek,Accueil > Le catalogue > Artek,False,24,0
brand,https://www.mikadodeco.be/produits.html?brand=avolt,200,https://www.mikadodeco.be/produits.html?brand=avolt,Avolt · Mikado Deco,https://www.mikadodeco.be/produits.html?brand=avolt,,False,9,9
brand,https://www.mikadodeco.be/collections/blomus,200,https://www.mikadodeco.be/collections/blomus,Blomus · Mikado Deco,https://www.mikadodeco.be/collections/blomus,Accueil > Le catalogue > Blomus,False,8,0
brand,https://www.mikadodeco.be/produits.html?brand=carl-hansen-son,200,https://www.mikadodeco.be/produits.html?brand=carl-hansen-son,Carl Hansen & Søn · Mikado Deco,https://www.mikadodeco.be/produits.html?brand=carl-hansen-son,,False,24,24
brand,https://www.mikadodeco.be/produits.html?brand=compagnie-de-provence,200,https://www.mikadodeco.be/produits.html?brand=compagnie-de-provence,Compagnie de Provence · Mikado Deco,https://www.mikadodeco.be/produits.html?brand=compagnie-de-provence,,False,6,6
brand,https://www.mikadodeco.be/produits.html?brand=esteban,200,https://www.mikadodeco.be/produits.html?brand=esteban,Esteban · Mikado Deco,https://www.mikadodeco.be/produits.html?brand=esteban,,False,2,2
brand,https://www.mikadodeco.be/produits.html?brand=ester-erik,200,https://www.mikadodeco.be/produits.html?brand=ester-erik,Ester & Erik · Mikado Deco,https://www.mikadodeco.be/produits.html?brand=ester-erik,,False,1,1
brand,https://www.mikadodeco.be/collections/fatboy,200,https://www.mikadodeco.be/collections/fatboy,Fatboy · Mikado Deco,https://www.mikadodeco.be/collections/fatboy,Accueil > Le catalogue > Fatboy,False,24,0
brand,https://www.mikadodeco.be/collections/ferm-living,200,https://www.mikadodeco.be/collections/ferm-living,Ferm Living · Mikado Deco,https://www.mikadodeco.be/collections/ferm-living,Accueil > Le catalogue > Ferm Living,False,24,0
brand,https://www.mikadodeco.be/collections/fermob,200,https://www.mikadodeco.be/collections/fermob,Fermob · Mikado Deco,https://www.mikadodeco.be/collections/fermob,Accueil > Le catalogue > Fermob,False,24,0
brand,https://www.mikadodeco.be/collections/hay,200,https://www.mikadodeco.be/collections/hay,HAY · Mikado Deco,https://www.mikadodeco.be/collections/hay,Accueil > Le catalogue > HAY,False,24,0
brand,https://www.mikadodeco.be/collections/hkliving,200,https://www.mikadodeco.be/collections/hkliving,HKliving · Mikado Deco,https://www.mikadodeco.be/collections/hkliving,Accueil > Le catalogue > HKliving,False,24,0
brand,https://www.mikadodeco.be/collections/ichendorf-milano,200,https://www.mikadodeco.be/collections/ichendorf-milano,Ichendorf Milano · Mikado Deco,https://www.mikadodeco.be/collections/ichendorf-milano,Accueil > Le catalogue > Ichendorf Milano,False,24,0
brand,https://www.mikadodeco.be/collections/iittala,200,https://www.mikadodeco.be/collections/iittala,Iittala · Mikado Deco,https://www.mikadodeco.be/collections/iittala,Accueil > Le catalogue > Iittala,False,24,0
brand,https://www.mikadodeco.be/collections/lind-dna,200,https://www.mikadodeco.be/collections/lind-dna,LIND DNA · Mikado Deco,https://www.mikadodeco.be/collections/lind-dna,Accueil > Le catalogue > LIND DNA,False,5,0
brand,https://www.mikadodeco.be/collections/marimekko,200,https://www.mikadodeco.be/collections/marimekko,Marimekko · Mikado Deco,https://www.mikadodeco.be/collections/marimekko,Accueil > Le catalogue > Marimekko,False,4,0
brand,https://www.mikadodeco.be/collections/muuto,200,https://www.mikadodeco.be/collections/muuto,Muuto · Mikado Deco,https://www.mikadodeco.be/collections/muuto,Accueil > Le catalogue > Muuto,False,15,0
brand,https://www.mikadodeco.be/collections/pols-potten,200,https://www.mikadodeco.be/collections/pols-potten,Pols Potten · Mikado Deco,https://www.mikadodeco.be/collections/pols-potten,Accueil > Le catalogue > Pols Potten,False,24,0
brand,https://www.mikadodeco.be/collections/relaxound,200,https://www.mikadodeco.be/collections/relaxound,Relaxound · Mikado Deco,https://www.mikadodeco.be/collections/relaxound,Accueil > Le catalogue > Relaxound,False,3,0
brand,https://www.mikadodeco.be/collections/serax,200,https://www.mikadodeco.be/collections/serax,Serax · Mikado Deco,https://www.mikadodeco.be/collections/serax,Accueil > Le catalogue > Serax,False,22,0
brand,https://www.mikadodeco.be/collections/stoff-nagel,200,https://www.mikadodeco.be/collections/stoff-nagel,Stoff Nagel · Mikado Deco,https://www.mikadodeco.be/collections/stoff-nagel,Accueil > Le catalogue > Stoff Nagel,False,20,0
brand,https://www.mikadodeco.be/collections/string-furniture,200,https://www.mikadodeco.be/collections/string-furniture,String Furniture · Mikado Deco,https://www.mikadodeco.be/collections/string-furniture,Accueil > Le catalogue > String Furniture,False,24,0
brand,https://www.mikadodeco.be/produits.html?brand=tiptoe,200,https://www.mikadodeco.be/produits.html?brand=tiptoe,Tiptoe · Mikado Deco,https://www.mikadodeco.be/produits.html?brand=tiptoe,,False,3,3
brand,https://www.mikadodeco.be/collections/vitra,200,https://www.mikadodeco.be/collections/vitra,Vitra · Mikado Deco,https://www.mikadodeco.be/collections/vitra,Accueil > Le catalogue > Vitra,False,24,0
brand,https://www.mikadodeco.be/collections/volta,200,https://www.mikadodeco.be/collections/volta,Volta · Mikado Deco,https://www.mikadodeco.be/collections/volta,Accueil > Le catalogue > Volta,False,24,0
family-brand,https://www.mikadodeco.be/collections/tables?brand=vitra,200,https://www.mikadodeco.be/collections/tables?brand=vitra,Tables · Vitra · Mikado Deco,https://www.mikadodeco.be/collections/tables?brand=vitra,Accueil > Le catalogue > Tables > Vitra,True,2,2
family-brand,https://www.mikadodeco.be/collections/tables?brand=ferm-living,200,https://www.mikadodeco.be/collections/tables?brand=ferm-living,Tables · Ferm Living · Mikado Deco,https://www.mikadodeco.be/collections/tables?brand=ferm-living,Accueil > Le catalogue > Tables > Ferm Living,True,9,9
family-brand,https://www.mikadodeco.be/collections/tables?brand=muuto,200,https://www.mikadodeco.be/collections/tables?brand=muuto,Tables · Muuto · Mikado Deco,https://www.mikadodeco.be/collections/tables?brand=muuto,Accueil > Le catalogue > Tables > Muuto,True,0,0
family-brand,https://www.mikadodeco.be/collections/tables?brand=artek,200,https://www.mikadodeco.be/collections/tables?brand=artek,Tables · Artek · Mikado Deco,https://www.mikadodeco.be/collections/tables?brand=artek,Accueil > Le catalogue > Tables > Artek,True,24,24
family-brand,https://www.mikadodeco.be/collections/luminaires?brand=hay,200,https://www.mikadodeco.be/collections/luminaires?brand=hay,Luminaires · HAY · Mikado Deco,https://www.mikadodeco.be/collections/luminaires?brand=hay,Accueil > Le catalogue > Luminaires > HAY,True,6,6
family-brand,https://www.mikadodeco.be/collections/luminaires?brand=anglepoise,200,https://www.mikadodeco.be/collections/luminaires?brand=anglepoise,Luminaires · Anglepoise · Mikado Deco,https://www.mikadodeco.be/collections/luminaires?brand=anglepoise,Accueil > Le catalogue > Luminaires > Anglepoise,True,5,5
family-brand,https://www.mikadodeco.be/collections/luminaires?brand=artek,200,https://www.mikadodeco.be/collections/luminaires?brand=artek,Luminaires · Artek · Mikado Deco,https://www.mikadodeco.be/collections/luminaires?brand=artek,Accueil > Le catalogue > Luminaires > Artek,True,19,19
family-brand,https://www.mikadodeco.be/collections/luminaires?brand=tradition,200,https://www.mikadodeco.be/collections/luminaires?brand=tradition,Luminaires · &Tradition · Mikado Deco,https://www.mikadodeco.be/collections/luminaires?brand=tradition,Accueil > Le catalogue > Luminaires > &Tradition,True,24,24
family-brand,https://www.mikadodeco.be/collections/decoration?brand=pols-potten,200,https://www.mikadodeco.be/collections/decoration?brand=pols-potten,Décoration · Pols Potten · Mikado Deco,https://www.mikadodeco.be/collections/decoration?brand=pols-potten,Accueil > Le catalogue > Décoration > Pols Potten,True,10,10
family-brand,https://www.mikadodeco.be/collections/decoration?brand=stoff-nagel,200,https://www.mikadodeco.be/collections/decoration?brand=stoff-nagel,Décoration · Stoff Nagel · Mikado Deco,https://www.mikadodeco.be/collections/decoration?brand=stoff-nagel,Accueil > Le catalogue > Décoration > Stoff Nagel,True,14,14
family-brand,https://www.mikadodeco.be/collections/decoration?brand=hkliving,200,https://www.mikadodeco.be/collections/decoration?brand=hkliving,Décoration · HKliving · Mikado Deco,https://www.mikadodeco.be/collections/decoration?brand=hkliving,Accueil > Le catalogue > Décoration > HKliving,True,24,24
family-brand,https://www.mikadodeco.be/collections/decoration?brand=vitra,200,https://www.mikadodeco.be/collections/decoration?brand=vitra,Décoration · Vitra · Mikado Deco,https://www.mikadodeco.be/collections/decoration?brand=vitra,Accueil > Le catalogue > Décoration > Vitra,True,10,10
family-brand,https://www.mikadodeco.be/collections/rangement?brand=string-furniture,200,https://www.mikadodeco.be/collections/rangement?brand=string-furniture,Rangement · String Furniture · Mikado Deco,https://www.mikadodeco.be/collections/rangement?brand=string-furniture,Accueil > Le catalogue > Rangement > String Furniture,True,24,24
family-brand,https://www.mikadodeco.be/collections/rangement?brand=muuto,200,https://www.mikadodeco.be/collections/rangement?brand=muuto,Rangement · Muuto · Mikado Deco,https://www.mikadodeco.be/collections/rangement?brand=muuto,Accueil > Le catalogue > Rangement > Muuto,True,8,8
family-brand,https://www.mikadodeco.be/collections/rangement?brand=tradition,200,https://www.mikadodeco.be/collections/rangement?brand=tradition,Rangement · &Tradition · Mikado Deco,https://www.mikadodeco.be/collections/rangement?brand=tradition,Accueil > Le catalogue > Rangement > &Tradition,True,1,1
